IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.173.187,2083,0,true,HKG,Asia Pacific,Hong Kong,52,0.69
8.217.221.165,80,80,false,HKG,Asia Pacific,Hong Kong,54,0.69
47.242.155.183,80,80,false,HKG,Asia Pacific,Hong Kong,39,0.69
47.76.192.24,2087,0,true,HKG,Asia Pacific,Hong Kong,57,0.69
47.242.7.162,2096,0,true,HKG,Asia Pacific,Hong Kong,59,0.69
8.218.85.128,80,80,false,HKG,Asia Pacific,Hong Kong,36,0.68
8.218.65.171,2083,0,true,HKG,Asia Pacific,Hong Kong,57,0.68
8.217.127.73,2086,2086,false,HKG,Asia Pacific,Hong Kong,54,0.68
47.243.203.119,2083,0,true,HKG,Asia Pacific,Hong Kong,63,0.68
8.218.142.253,80,80,false,HKG,Asia Pacific,Hong Kong,30,0.68
8.218.53.110,8080,8080,false,HKG,Asia Pacific,Hong Kong,66,0.68
47.76.77.103,8443,0,true,HKG,Asia Pacific,Hong Kong,49,0.67
8.210.39.96,2087,0,true,HKG,Asia Pacific,Hong Kong,64,0.66
47.243.60.150,8443,0,true,HKG,Asia Pacific,Hong Kong,51,0.66
8.218.48.92,8080,0,false,HKG,Asia Pacific,Hong Kong,56,0.65
8.217.127.73,80,80,false,HKG,Asia Pacific,Hong Kong,28,0.64
47.242.54.157,2082,0,false,HKG,Asia Pacific,Hong Kong,134,0.63
8.218.146.204,8080,8080,false,HKG,Asia Pacific,Hong Kong,48,0.63
8.210.21.65,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,0.63
47.243.206.150,2053,0,true,HKG,Asia Pacific,Hong Kong,60,0.61
47.243.74.220,80,80,false,HKG,Asia Pacific,Hong Kong,34,0.61
8.210.3.24,8880,0,false,HKG,Asia Pacific,Hong Kong,55,0.60
47.243.60.150,2087,0,true,HKG,Asia Pacific,Hong Kong,61,0.59
8.210.119.11,2096,0,true,HKG,Asia Pacific,Hong Kong,111,0.59
47.76.222.57,2087,0,true,HKG,Asia Pacific,Hong Kong,65,0.59
47.243.42.155,2087,0,true,HKG,Asia Pacific,Hong Kong,81,0.58
47.76.159.146,2095,0,false,HKG,Asia Pacific,Hong Kong,61,0.58
8.210.192.93,8443,0,true,HKG,Asia Pacific,Hong Kong,37,0.57
47.238.0.114,2053,2053,true,HKG,Asia Pacific,Hong Kong,32,0.57
47.242.232.14,2053,0,true,HKG,Asia Pacific,Hong Kong,31,0.56
8.210.55.134,2082,2082,false,HKG,Asia Pacific,Hong Kong,49,0.53
47.76.94.15,8443,0,true,HKG,Asia Pacific,Hong Kong,59,0.50
8.218.1.163,2053,0,true,HKG,Asia Pacific,Hong Kong,69,0.50
8.217.248.220,8443,0,true,HKG,Asia Pacific,Hong Kong,51,0.50
47.243.27.217,2087,0,true,HKG,Asia Pacific,Hong Kong,48,0.49
183.232.159.226,2052,0,false,HKG,Asia Pacific,Hong Kong,43,0.48
8.210.55.134,2083,0,true,HKG,Asia Pacific,Hong Kong,48,0.48
47.76.178.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,41,0.38
8.218.126.53,8880,8880,false,HKG,Asia Pacific,Hong Kong,40,0.37
47.238.0.114,2087,0,true,HKG,Asia Pacific,Hong Kong,40,0.36
8.218.53.110,2087,0,true,HKG,Asia Pacific,Hong Kong,64,0.36
47.76.178.146,80,80,false,HKG,Asia Pacific,Hong Kong,41,0.32
8.218.126.53,2082,2082,false,HKG,Asia Pacific,Hong Kong,49,0.30
47.76.178.146,8880,8880,false,HKG,Asia Pacific,Hong Kong,51,0.29
8.218.1.163,2096,0,true,HKG,Asia Pacific,Hong Kong,56,0.27
8.210.55.134,8443,0,true,HKG,Asia Pacific,Hong Kong,37,0.26
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,33,0.20
8.217.90.154,443,443,true,HKG,Asia Pacific,Hong Kong,35,0.20
8.217.248.220,8080,8080,false,HKG,Asia Pacific,Hong Kong,35,0.19
8.218.126.53,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,0.16
8.210.55.134,8080,0,false,HKG,Asia Pacific,Hong Kong,63,0.13
8.218.222.36,2086,2086,false,HKG,Asia Pacific,Hong Kong,49,0.13
39.126.44.106,37635,0,false,HKG,Asia Pacific,Hong Kong,286,0.09
8.210.203.7,2096,0,true,HKG,Asia Pacific,Hong Kong,46,0.07
8.210.55.134,2053,0,true,HKG,Asia Pacific,Hong Kong,50,0.06
154.23.185.52,34237,0,true,HKG,Asia Pacific,Hong Kong,42,0.06
38.181.35.164,37459,0,true,HKG,Asia Pacific,Hong Kong,49,0.02
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,47,0.02
119.28.22.113,443,80,false,HKG,Asia Pacific,Hong Kong,58,0.00
47.243.90.180,2086,2086,false,HKG,Asia Pacific,Hong Kong,46,0.00
47.243.26.83,2087,0,true,HKG,Asia Pacific,Hong Kong,67,0.00
219.76.13.183,443,443,true,HKG,Asia Pacific,Hong Kong,88,0.00
219.76.13.169,443,443,true,HKG,Asia Pacific,Hong Kong,92,0.00
